Groups,model,RMSD,RMSD_rank,DI,DI_rank,INF_all,INF_all_rank,INF_wc,INF_wc_rank,INF_nwc,INF_nwc_rank,INF_stack,INF_stack_rank,clash,clash_rank,MCQ,MCQ_rank,TM,TM_rank,GDT,GDT_rank,p-value,solution,PZ,complete_name,complete_model,Lddt_score,Lddt_rank,Groups_new
Chen,4,3.056,11,3.714,11,0.823,10,0.906,15,0.577,13,0.807,9,0.0,1,20.216,25,0.634,11,0.0,1,0.0,0,PZ25,PZ25_Chen_4,PZ25_Chen_4,0.7350826357587465,16,Others
Chen,7,3.054,10,3.6,9,0.848,2,0.933,6,0.577,13,0.833,2,0.0,1,20.413,31,0.656,9,0.0,1,0.0,0,PZ25,PZ25_Chen_7,PZ25_Chen_7,0.7484293392716606,8,Others
Bujnicki,2,3.045,9,3.855,14,0.79,17,0.85,30,0.612,10,0.787,15,7.67,19,17.04,5,0.592,16,0.0,1,0.0,0,PZ25,PZ25_Bujnicki_2,PZ25_Bujnicki_2,0.7474399906990055,10,Others
Adamiak,2,3.17,15,4.131,17,0.768,21,0.927,8,0.0,29,0.768,19,14.9,35,18.238,12,0.644,10,0.0,1,0.0,0,PZ25,PZ25_Adamiak_2,PZ25_Adamiak_2,0.7280141035272233,20,Others
Chen,9,2.874,7,3.388,6,0.848,2,0.953,1,0.577,13,0.826,4,0.0,1,19.618,24,0.619,13,0.0,1,0.0,0,PZ25,PZ25_Chen_9,PZ25_Chen_9,0.7478558524719181,9,Others
Chen,1,2.903,8,3.594,8,0.808,11,0.906,15,0.577,13,0.785,16,0.0,1,20.365,30,0.701,4,0.0,1,0.0,0,PZ25,PZ25_Chen_1,PZ25_Chen_1,0.7345695159905559,17,Others
Chen,6,3.477,20,4.209,19,0.826,7,0.906,15,0.577,13,0.812,8,0.0,1,19.438,21,0.621,12,0.0,1,0.0,0,PZ25,PZ25_Chen_6,PZ25_Chen_6,0.7250035773055734,21,Others
Das,5,3.529,21,4.617,21,0.764,22,0.9,20,0.671,2,0.722,24,5.43,15,17.053,6,0.581,19,0.0,1,0.0,0,PZ25,PZ25_Das_5,PZ25_Das_5,0.7174252790298348,22,Others
Bujnicki,4,3.472,19,4.333,20,0.801,15,0.85,30,0.612,10,0.804,10,5.87,16,17.416,8,0.558,26,0.0,1,0.0,0,PZ25,PZ25_Bujnicki_4,PZ25_Bujnicki_4,0.7357243149459827,15,Others
Bujnicki,5,2.86,6,3.38,4,0.846,4,0.9,20,0.671,2,0.841,1,6.77,17,16.494,1,0.597,15,0.0,1,0.0,0,PZ25,PZ25_Bujnicki_5,PZ25_Bujnicki_5,0.7810398332975603,1,Others
Adamiak,4,20.621,45,24.892,42,0.828,14,0.957,23,0.577,46,0.777,6,9.53,47,24.694,52,0.583,48,0.0,1,1.021e-14,0,PZ26,PZ26_Adamiak_4,PZ26_Adamiak_4,0.5913414010773066,46,Others
Xiao,3,20.615,44,37.458,55,0.55,53,0.523,53,-1.0,51,0.584,53,18.36,53,28.575,65,0.522,50,0.0,1,9.992e-15,0,PZ26,PZ26_Xiao_3,PZ26_Xiao_3,0.4444908592894791,57,Others
Ding,3,20.186,43,28.703,52,0.703,50,0.91,49,0.0,49,0.631,50,14.78,52,23.086,43,0.374,56,0.0,1,1.499e-15,0,PZ26,PZ26_Ding_3,PZ26_Ding_3,0.5257035767159026,51,Others
TFN,10,20.003,42,20.003,20,-1.0,57,-1.0,57,-1.0,51,-1.0,57,2.14,19,18.427,24,0.661,14,0.0,1,6.661e-16,0,PZ26,PZ26_TFN_10,PZ26_TFN_10,0.6983523332802878,12,Others
FARFAR2,9,19.901,41,24.934,43,0.798,48,0.948,31,0.73,30,0.734,43,2.62,31,17.739,13,0.66,22,0.0,1,4.441e-16,0,PZ26,PZ26_FARFAR2_9,PZ26_FARFAR2_9,0.6955137942508283,19,Others
Ding,1,19.338,40,26.229,46,0.737,49,0.91,49,0.0,49,0.679,49,13.35,51,22.411,39,0.377,55,0.0,1,5.551e-17,0,PZ26,PZ26_Ding_1,PZ26_Ding_1,0.5319370301250428,50,Others
Adamiak,3,18.809,38,22.121,34,0.85,1,0.957,23,0.707,43,0.806,1,8.1,46,21.557,37,0.732,1,0.0,1,0.0,0,PZ26,PZ26_Adamiak_3,PZ26_Adamiak_3,0.6332515949828567,36,Others
Adamiak,1,18.711,37,22.812,38,0.82,20,0.957,23,0.577,46,0.763,17,10.25,49,23.321,44,0.577,49,0.0,1,0.0,0,PZ26,PZ26_Adamiak_1,PZ26_Adamiak_1,0.5912588188205566,47,Others
Chen,9,18.34,35,22.13,35,0.829,11,0.945,39,0.816,14,0.775,8,2.14,19,25.48,60,0.613,45,0.0,1,0.0,0,PZ26,PZ26_Chen_9,PZ26_Chen_9,0.6051386658565167,43,Others
Adamiak,2,19.074,39,23.285,39,0.819,22,0.957,23,0.577,46,0.763,17,9.77,48,26.177,62,0.584,47,0.0,1,0.0,0,PZ26,PZ26_Adamiak_2,PZ26_Adamiak_2,0.5876764366901513,49,Others
iFoldRNA,2,24.59,56,24.59,41,-1.0,57,-1.0,57,-1.0,51,-1.0,57,128.55,59,24.854,54,0.257,59,0.0,1,2.623e-08,0,PZ26,PZ26_iFoldRNA_2,PZ26_iFoldRNA_2,0.4618234885638644,53,Others
Chen,10,21.417,47,25.524,45,0.839,5,0.967,17,0.913,1,0.776,7,2.62,31,25.369,59,0.616,43,0.0,1,2.893e-13,0,PZ26,PZ26_Chen_10,PZ26_Chen_10,0.6099175865245047,42,Others
Chen,5,18.131,34,21.908,30,0.828,14,0.922,47,0.913,1,0.779,5,5.73,45,25.531,61,0.666,6,0.0,1,0.0,0,PZ26,PZ26_Chen_5,PZ26_Chen_5,0.6141431457932478,39,Others
Xiao,4,29.841,59,54.223,59,0.55,53,0.523,53,-1.0,51,0.584,53,22.65,55,28.575,65,0.522,50,0.0,1,0.005778,0,PZ26,PZ26_Xiao_4,PZ26_Xiao_4,0.4345478350187347,58,Others
Xiao,1,29.533,58,51.963,58,0.568,52,0.636,52,-1.0,51,0.564,56,22.88,56,27.101,63,0.522,50,0.0,1,0.003503,0,PZ26,PZ26_Xiao_1,PZ26_Xiao_1,0.459836089290106,54,Others
Xiao,2,28.116,57,51.089,57,0.55,53,0.501,56,-1.0,51,0.59,52,19.08,54,27.946,64,0.522,50,0.0,1,0.0002473,0,PZ26,PZ26_Xiao_2,PZ26_Xiao_2,0.4340939340017071,59,Others
Chen,7,23.79,55,29.38,54,0.81,29,0.956,30,0.913,1,0.734,43,1.19,10,25.143,55,0.618,42,0.0,1,1.966e-09,0,PZ26,PZ26_Chen_7,PZ26_Chen_7,0.5877969947292025,48,Others
Chen,6,21.399,46,26.567,48,0.805,36,0.957,23,0.913,1,0.726,46,2.14,19,25.19,56,0.614,44,0.0,1,2.687e-13,0,PZ26,PZ26_Chen_6,PZ26_Chen_6,0.596029300425811,45,Others
Chen,3,23.705,54,28.896,53,0.82,20,0.945,39,0.913,1,0.757,23,2.38,29,24.212,47,0.656,36,0.0,1,1.479e-09,0,PZ26,PZ26_Chen_3,PZ26_Chen_3,0.6133956859511306,40,Others
TFN,5,22.851,52,27.708,51,0.825,17,0.948,31,0.816,14,0.77,10,1.67,15,18.774,28,0.662,12,0.0,1,7.33e-11,0,PZ26,PZ26_TFN_5,PZ26_TFN_5,0.6947440311714865,20,Others
Xiao,5,22.586,51,41.039,56,0.55,53,0.523,53,-1.0,51,0.584,53,25.99,57,28.575,65,0.522,50,0.0,1,2.761e-11,0,PZ26,PZ26_Xiao_5,PZ26_Xiao_5,0.4512029281136525,56,Others
Chen,8,22.123,50,27.546,50,0.803,42,0.922,47,0.816,14,0.746,36,0.71,4,24.333,48,0.612,46,0.0,1,4.779e-12,0,PZ26,PZ26_Chen_8,PZ26_Chen_8,0.6016159599554417,44,Others
Chen,4,21.857,49,27.32,49,0.8,47,0.945,39,0.913,1,0.726,46,2.62,31,24.371,49,0.67,4,0.0,1,1.693e-12,0,PZ26,PZ26_Chen_4,PZ26_Chen_4,0.6100942040517146,41,Others
Chen,1,21.553,48,26.261,47,0.821,19,0.934,43,0.913,1,0.762,19,3.57,41,25.318,57,0.662,12,0.0,1,5.018e-13,0,PZ26,PZ26_Chen_1,PZ26_Chen_1,0.6188871046299109,38,Others
iFoldRNA,1,23.467,53,23.467,40,-1.0,57,-1.0,57,-1.0,51,-1.0,57,116.38,58,23.574,45,0.316,58,0.0,1,6.536e-10,0,PZ26,PZ26_iFoldRNA_1,PZ26_iFoldRNA_1,0.4965375731184507,52,Others
TFN,9,18.103,33,22.435,36,0.807,33,0.948,31,0.73,30,0.747,29,3.57,41,18.933,30,0.659,30,0.0,1,0.0,0,PZ26,PZ26_TFN_9,PZ26_TFN_9,0.691983252077215,23,Others
Chen,2,18.479,36,22.788,37,0.811,28,0.957,23,0.913,1,0.736,42,3.1,38,24.209,46,0.663,10,0.0,1,0.0,0,PZ26,PZ26_Chen_2,PZ26_Chen_2,0.6256600552638051,37,Others
FARFAR2,7,17.647,30,21.934,31,0.805,36,0.958,18,0.73,30,0.741,38,0.95,7,18.085,21,0.659,30,0.0,1,0.0,0,PZ26,PZ26_FARFAR2_7,PZ26_FARFAR2_7,0.6962112225067392,16,Others
Bujnicki,2,15.442,14,18.376,9,0.84,4,0.936,42,0.913,1,0.795,2,0.95,7,19.997,34,0.679,3,0.0,1,0.0,0,PZ26,PZ26_Bujnicki_2,PZ26_Bujnicki_2,0.700037734666223,9,Others
FARFAR2,3,15.29,12,18.799,13,0.813,26,0.969,7,0.73,30,0.747,29,1.67,15,18.007,17,0.66,22,0.0,1,0.0,0,PZ26,PZ26_FARFAR2_3,PZ26_FARFAR2_3,0.6899030231133872,27,Others
Das,5,15.29,12,18.799,13,0.813,26,0.969,7,0.73,30,0.747,29,1.67,15,18.007,17,0.66,22,0.0,1,0.0,0,PZ26,PZ26_Das_5,PZ26_Das_5,0.6899030231133872,27,Others
Das,1,15.278,11,18.563,11,0.823,18,0.969,7,0.73,30,0.759,21,1.91,18,16.499,2,0.652,39,0.0,1,0.0,0,PZ26,PZ26_Das_1,PZ26_Das_1,0.7001118778602394,7,Others
Bujnicki,3,15.231,10,17.988,7,0.847,2,0.989,1,0.913,1,0.782,4,1.43,12,19.548,32,0.681,2,0.0,1,0.0,0,PZ26,PZ26_Bujnicki_3,PZ26_Bujnicki_3,0.6800015913661155,34,Others
FARFAR2,8,14.974,9,18.613,12,0.805,36,0.958,18,0.73,30,0.741,38,3.1,38,18.03,19,0.66,22,0.0,1,0.0,0,PZ26,PZ26_FARFAR2_8,PZ26_FARFAR2_8,0.6838250895746231,32,Others
Das,3,15.662,15,18.844,15,0.831,8,0.979,2,0.816,14,0.767,12,2.14,19,18.581,25,0.651,40,0.0,1,0.0,0,PZ26,PZ26_Das_3,PZ26_Das_3,0.6908765292787253,25,Others
FARFAR2,5,14.889,8,18.452,10,0.807,33,0.927,44,0.816,14,0.753,24,1.19,10,18.146,23,0.663,10,0.0,1,0.0,0,PZ26,PZ26_FARFAR2_5,PZ26_FARFAR2_5,0.6890012489812846,29,Others
TFN,8,14.728,7,18.358,8,0.802,45,0.948,31,0.816,14,0.734,43,3.57,41,18.67,27,0.665,8,0.0,1,0.0,0,PZ26,PZ26_TFN_8,PZ26_TFN_8,0.6956650945898374,18,Others
FARFAR2,10,15.662,15,18.844,15,0.831,8,0.979,2,0.816,14,0.767,12,2.14,19,18.581,25,0.651,40,0.0,1,0.0,0,PZ26,PZ26_FARFAR2_10,PZ26_FARFAR2_10,0.6908765292787253,25,Others
TFN,2,17.739,32,21.983,33,0.807,33,0.958,18,0.816,14,0.741,38,2.86,36,17.632,10,0.664,9,0.0,1,0.0,0,PZ26,PZ26_TFN_2,PZ26_TFN_2,0.7030836335228505,4,Others
TFN,1,15.811,18,19.731,19,0.801,46,0.969,7,0.816,14,0.724,48,2.38,29,17.994,15,0.661,14,0.0,1,0.0,0,PZ26,PZ26_TFN_1,PZ26_TFN_1,0.6838058002883748,33,Others
Bujnicki,4,15.721,17,18.894,17,0.832,7,0.969,7,0.833,12,0.772,9,0.0,1,19.893,33,0.66,22,0.0,1,0.0,0,PZ26,PZ26_Bujnicki_4,PZ26_Bujnicki_4,0.6967706118079365,14,Others
Das,8,17.647,30,21.934,31,0.805,36,0.958,18,0.73,30,0.741,38,0.95,7,18.085,21,0.659,30,0.0,1,0.0,0,PZ26,PZ26_Das_8,PZ26_Das_8,0.6962112225067392,16,Others
Das,10,17.501,29,21.163,27,0.827,16,0.979,2,0.73,30,0.759,21,2.86,36,16.477,1,0.657,33,0.0,1,0.0,0,PZ26,PZ26_Das_10,PZ26_Das_10,0.6910465161137875,24,Others
Ding,2,17.364,28,25.17,44,0.69,51,0.874,51,-1.0,51,0.619,51,10.72,50,24.608,51,0.352,57,0.0,1,0.0,0,PZ26,PZ26_Ding_2,PZ26_Ding_2,0.4581977055394007,55,Others
TFN,6,17.111,26,20.885,26,0.819,22,0.957,23,0.816,14,0.76,20,5.48,44,18.83,29,0.66,22,0.0,1,0.0,0,PZ26,PZ26_TFN_6,PZ26_TFN_6,0.6935806460946429,22,Others
FARFAR2,4,17.072,24,21.263,28,0.803,42,0.927,44,0.73,30,0.75,25,0.71,4,17.409,4,0.661,14,0.0,1,0.0,0,PZ26,PZ26_FARFAR2_4,PZ26_FARFAR2_4,0.6846900935048151,30,Others
TFN,4,17.319,27,20.843,25,0.831,8,0.979,2,0.816,14,0.764,16,2.14,19,17.82,14,0.667,5,0.0,1,0.0,0,PZ26,PZ26_TFN_4,PZ26_TFN_4,0.7000799299798909,8,Others
FARFAR2,2,16.859,22,20.83,23,0.809,30,0.948,31,0.73,30,0.75,25,2.14,19,17.532,8,0.66,22,0.0,1,0.0,0,PZ26,PZ26_FARFAR2_2,PZ26_FARFAR2_2,0.6990425280538557,10,Others
Das,4,16.859,22,20.83,23,0.809,30,0.948,31,0.73,30,0.75,25,2.14,19,17.532,8,0.66,22,0.0,1,0.0,0,PZ26,PZ26_Das_4,PZ26_Das_4,0.6990425280538557,10,Others
Bujnicki,1,16.562,21,19.56,18,0.847,2,0.979,2,0.913,1,0.785,3,0.0,1,19.462,31,0.666,6,0.0,1,0.0,0,PZ26,PZ26_Bujnicki_1,PZ26_Bujnicki_1,0.6980376767983643,13,Others
FARFAR2,6,16.37,19,20.089,21,0.815,24,0.969,7,0.816,14,0.747,29,1.43,12,17.503,6,0.657,33,0.0,1,0.0,0,PZ26,PZ26_FARFAR2_6,PZ26_FARFAR2_6,0.7057973949818922,2,Others
Das,7,16.37,19,20.089,21,0.815,24,0.969,7,0.816,14,0.747,29,1.43,12,17.503,6,0.657,33,0.0,1,0.0,0,PZ26,PZ26_Das_7,PZ26_Das_7,0.7057973949818922,2,Others
Das,6,17.072,24,21.263,28,0.803,42,0.927,44,0.73,30,0.75,25,0.71,4,17.409,4,0.661,14,0.0,1,0.0,0,PZ26,PZ26_Das_6,PZ26_Das_6,0.6846900935048151,30,Others
Bujnicki,5,17.768,39,17.768,4,-1.0,58,-1.0,58,-1.0,18,-1.0,58,0.0,1,20.861,37,0.265,7,0.0,1,0.01677,0,PZ26tBox,PZ26tBox_Bujnicki_5,PZ26tBox_Bujnicki_5,0.5132571023910689,38,Others
Chen,4,18.096,43,26.441,53,0.684,52,0.895,31,-1.0,18,0.591,52,5.15,41,24.625,52,0.195,55,0.0,1,0.02597,0,PZ26tBox,PZ26tBox_Chen_4,PZ26tBox_Chen_4,0.4580447150117233,53,Others
TFN,1,17.948,42,23.789,41,0.754,38,0.929,8,-1.0,18,0.685,46,3.61,32,19.317,24,0.223,23,0.0,1,0.02139,0,PZ26tBox,PZ26tBox_TFN_1,PZ26tBox_TFN_1,0.5415446733554706,33,Others
FARFAR2,9,17.824,41,24.112,42,0.739,47,0.88,39,0.0,1,0.693,45,2.58,21,17.903,8,0.213,39,0.0,1,0.01811,0,PZ26tBox,PZ26tBox_FARFAR2_9,PZ26tBox_FARFAR2_9,0.5687090132228848,8,Others
Chen,8,17.783,40,23.515,40,0.756,35,0.923,17,-1.0,18,0.68,47,1.55,13,23.193,46,0.185,58,0.0,1,0.01713,0,PZ26tBox,PZ26tBox_Chen_8,PZ26tBox_Chen_8,0.4742847026338653,50,Others
Bujnicki,1,17.693,38,22.124,36,0.8,5,0.951,2,-1.0,18,0.744,10,0.0,1,19.292,23,0.222,25,0.0,1,0.01511,0,PZ26tBox,PZ26tBox_Bujnicki_1,PZ26tBox_Bujnicki_1,0.5425756656074077,32,Others
TFN,2,16.893,32,22.254,37,0.759,33,0.901,26,-1.0,18,0.708,38,4.12,35,18.805,16,0.207,45,0.0,1,0.004502,0,PZ26tBox,PZ26tBox_TFN_2,PZ26tBox_TFN_2,0.5625394246676426,20,Others
Ding,2,17.375,36,22.365,38,0.777,19,0.923,17,-1.0,18,0.716,28,10.82,52,20.792,35,0.263,8,0.0,1,0.009535,0,PZ26tBox,PZ26tBox_Ding_2,PZ26tBox_Ding_2,0.4918190095333309,44,Others
Das,9,17.346,35,21.743,27,0.798,7,0.929,8,-1.0,18,0.745,8,3.09,25,16.679,2,0.227,20,0.0,1,0.009131,0,PZ26tBox,PZ26tBox_Das_9,PZ26tBox_Das_9,0.5871389295533259,2,Others
TFN,9,17.312,34,22.518,39,0.769,25,0.88,39,0.0,1,0.736,14,5.67,46,20.393,32,0.269,4,0.0,1,0.008676,0,PZ26tBox,PZ26tBox_TFN_9,PZ26tBox_TFN_9,0.5651087228192951,14,Others
Chen,5,17.121,33,21.947,30,0.78,17,0.923,17,-1.0,18,0.719,27,5.15,41,28.039,64,0.203,48,0.0,1,0.006477,0,PZ26tBox,PZ26tBox_Chen_5,PZ26tBox_Chen_5,0.4602748122493186,52,Others
Bujnicki,4,16.877,31,22.106,35,0.763,32,0.929,8,0.0,1,0.71,35,0.0,1,18.454,10,0.226,21,0.0,1,0.004389,0,PZ26tBox,PZ26tBox_Bujnicki_4,PZ26tBox_Bujnicki_4,0.547998417062401,28,Others
Chen,6,17.387,37,24.112,42,0.721,50,0.895,31,-1.0,18,0.643,50,4.12,35,27.649,62,0.198,52,0.0,1,0.009706,0,PZ26tBox,PZ26tBox_Chen_6,PZ26tBox_Chen_6,0.4634987086561692,51,Others
iFoldRNA,2,18.22,44,24.123,44,0.755,36,0.821,52,-1.0,18,0.736,14,137.54,59,23.169,45,0.212,41,0.0,1,0.03041,0,PZ26tBox,PZ26tBox_iFoldRNA_2,PZ26tBox_iFoldRNA_2,0.5139845990883232,37,Others
TFN,5,20.064,51,25.089,47,0.8,5,0.88,39,-1.0,18,0.773,3,1.03,7,21.162,40,0.223,23,0.0,1,0.1977,0,PZ26tBox,PZ26tBox_TFN_5,PZ26tBox_TFN_5,0.5591979981195178,23,Others
Chen,2,18.828,46,26.839,54,0.701,51,0.895,31,-1.0,18,0.616,51,4.12,35,26.006,57,0.199,50,0.0,1,0.06214,0,PZ26tBox,PZ26tBox_Chen_2,PZ26tBox_Chen_2,0.4826992656597755,47,Others
Xiao,2,25.069,59,63.236,59,0.396,54,0.0,54,-1.0,18,0.532,53,0.52,4,26.13,59,0.186,57,0.0,1,0.9732,0,PZ26tBox,PZ26tBox_Xiao_2,PZ26tBox_Xiao_2,0.2667398626533843,59,Others
Bujnicki,3,16.852,30,21.362,24,0.789,12,0.975,1,-1.0,18,0.723,22,3.09,25,20.861,37,0.213,39,0.0,1,0.004209,0,PZ26tBox,PZ26tBox_Bujnicki_3,PZ26tBox_Bujnicki_3,0.5283247640470835,34,Others
Xiao,4,23.271,56,58.7,56,0.396,54,0.0,54,-1.0,18,0.519,54,13.4,54,28.127,65,0.22,27,0.0,1,0.8242,0,PZ26tBox,PZ26tBox_Xiao_4,PZ26tBox_Xiao_4,0.2678660691969864,56,Others
Xiao,3,23.271,56,58.7,56,0.396,54,0.0,54,-1.0,18,0.519,54,13.4,54,28.128,66,0.22,27,0.0,1,0.8242,0,PZ26tBox,PZ26tBox_Xiao_3,PZ26tBox_Xiao_3,0.2678556551338356,58,Others
TFN,10,18.665,45,24.588,45,0.759,33,0.872,47,-1.0,18,0.723,22,2.58,21,19.66,27,0.242,13,0.0,1,0.05181,0,PZ26tBox,PZ26tBox_TFN_10,PZ26tBox_TFN_10,0.5627551445471966,19,Others
Xiao,1,20.652,55,47.044,55,0.439,53,0.382,53,-1.0,18,0.469,57,1.03,7,25.511,54,0.236,14,0.0,1,0.3003,0,PZ26tBox,PZ26tBox_Xiao_1,PZ26tBox_Xiao_1,0.3302790373835113,55,Others
Adamiak,2,20.201,53,26.238,51,0.77,24,0.923,17,-1.0,18,0.703,42,10.3,51,27.782,63,0.232,17,0.0,1,0.2195,0,PZ26tBox,PZ26tBox_Adamiak_2,PZ26tBox_Adamiak_2,0.4878140583901643,46,Others
Chen,3,20.085,52,26.194,50,0.767,28,0.923,17,-1.0,18,0.7,44,4.64,40,25.809,55,0.206,47,0.0,1,0.2008,0,PZ26tBox,PZ26tBox_Chen_3,PZ26tBox_Chen_3,0.4774654550648052,49,Others
Chen,1,19.485,50,25.18,48,0.774,21,0.895,31,-1.0,18,0.723,22,1.03,7,26.021,58,0.203,48,0.0,1,0.1206,0,PZ26tBox,PZ26tBox_Chen_1,PZ26tBox_Chen_1,0.4910245652872496,45,Others
Chen,7,19.451,49,26.332,52,0.739,47,0.919,24,-1.0,18,0.66,49,2.06,18,26.154,60,0.215,37,0.0,1,0.1168,0,PZ26tBox,PZ26tBox_Chen_7,PZ26tBox_Chen_7,0.4473167422430106,54,Others
Chen,10,19.413,48,24.779,46,0.783,16,0.919,24,-1.0,18,0.732,16,5.15,41,25.877,56,0.217,35,0.0,1,0.1128,0,PZ26tBox,PZ26tBox_Chen_10,PZ26tBox_Chen_10,0.4961393580176384,43,Others
Adamiak,1,19.323,47,19.323,8,-1.0,58,-1.0,58,-1.0,18,-1.0,58,8.76,47,22.367,42,0.262,9,0.0,1,0.1035,0,PZ26tBox,PZ26tBox_Adamiak_1,PZ26tBox_Adamiak_1,0.5038011330500708,41,Others
Adamiak,3,20.299,54,25.467,49,0.797,10,0.923,17,-1.0,18,0.745,8,9.79,50,23.643,48,0.252,11,0.0,1,0.2359,0,PZ26tBox,PZ26tBox_Adamiak_3,PZ26tBox_Adamiak_3,0.5050002380357291,40,Others
Xiao,5,23.271,56,58.7,56,0.396,54,0.0,54,-1.0,18,0.519,54,13.4,54,28.128,66,0.22,27,0.0,1,0.8242,0,PZ26tBox,PZ26tBox_Xiao_5,PZ26tBox_Xiao_5,0.2678630937503719,57,Others
iFoldRNA,1,16.828,29,21.355,23,0.788,13,0.947,7,-1.0,18,0.729,17,103.04,58,23.256,47,0.219,33,0.0,1,0.004052,0,PZ26tBox,PZ26tBox_iFoldRNA_1,PZ26tBox_iFoldRNA_1,0.5107294604920198,39,Others
FARFAR2,7,16.642,26,22.072,31,0.754,38,0.901,26,0.0,1,0.708,38,1.03,7,18.847,17,0.22,27,0.0,1,0.00297,0,PZ26tBox,PZ26tBox_FARFAR2_7,PZ26tBox_FARFAR2_7,0.5656889349091299,12,Others
TFN,6,16.706,28,21.251,20,0.786,14,0.895,31,-1.0,18,0.751,7,8.76,47,20.041,29,0.221,26,0.0,1,0.003306,0,PZ26tBox,PZ26tBox_TFN_6,PZ26tBox_TFN_6,0.5472575308553814,31,Others
Chen,9,14.85,6,18.301,6,0.811,3,0.895,31,-1.0,18,0.781,2,4.12,35,27.599,61,0.184,59,0.0,1,8.958e-05,0,PZ26tBox,PZ26tBox_Chen_9,PZ26tBox_Chen_9,0.4797297699384678,48,Others
Das,5,15.759,8,20.498,13,0.769,25,0.929,8,0.0,1,0.715,32,1.55,13,19.172,20,0.211,42,0.0,1,0.0005937,0,PZ26tBox,PZ26tBox_Das_5,PZ26tBox_Das_5,0.5474301067590245,29,Others
FARFAR2,3,15.759,8,20.498,13,0.769,25,0.929,8,0.0,1,0.715,32,1.55,13,19.172,20,0.211,42,0.0,1,0.0005937,0,PZ26tBox,PZ26tBox_FARFAR2_3,PZ26tBox_FARFAR2_3,0.5474301067590245,29,Others
TFN,4,15.934,10,19.59,9,0.813,2,0.951,2,-1.0,18,0.76,5,3.09,25,20.22,31,0.215,37,0.0,1,0.0008322,0,PZ26tBox,PZ26tBox_TFN_4,PZ26tBox_TFN_4,0.5668493590887992,9,Others
Adamiak,4,15.963,11,20.547,16,0.777,19,0.923,17,-1.0,18,0.713,34,8.76,47,24.914,53,0.258,10,0.0,1,0.0008789,0,PZ26tBox,PZ26tBox_Adamiak_4,PZ26tBox_Adamiak_4,0.5005757489199129,42,Others
Ding,3,16.011,12,21.83,28,0.733,49,0.895,31,0.0,1,0.675,48,11.85,53,20.496,33,0.209,44,0.0,1,0.0009609,0,PZ26tBox,PZ26tBox_Ding_3,PZ26tBox_Ding_3,0.5208325894716797,35,Others
Das,3,16.085,13,20.148,10,0.798,7,0.951,2,-1.0,18,0.744,10,3.09,25,19.577,25,0.231,18,0.0,1,0.001104,0,PZ26tBox,PZ26tBox_Das_3,PZ26tBox_Das_3,0.5635808309827305,17,Others
FARFAR2,5,15.695,7,20.816,17,0.754,38,0.831,49,-1.0,18,0.729,17,1.03,7,18.081,9,0.3,3,0.0,1,0.0005239,0,PZ26tBox,PZ26tBox_FARFAR2_5,PZ26tBox_FARFAR2_5,0.5511895835564918,26,Others
Das,4,16.286,15,21.309,21,0.764,29,0.88,39,0.0,1,0.729,17,2.58,21,18.549,13,0.234,15,0.0,1,0.001593,0,PZ26tBox,PZ26tBox_Das_4,PZ26tBox_Das_4,0.5594360338486807,21,Others
FARFAR2,10,16.085,13,20.148,10,0.798,7,0.951,2,-1.0,18,0.744,10,3.09,25,19.577,25,0.231,18,0.0,1,0.001104,0,PZ26tBox,PZ26tBox_FARFAR2_10,PZ26tBox_FARFAR2_10,0.5635808309827305,17,Others
FARFAR2,6,16.617,24,21.487,25,0.773,22,0.929,8,-1.0,18,0.716,28,1.55,13,17.418,4,0.269,4,0.0,1,0.002844,0,PZ26tBox,PZ26tBox_FARFAR2_6,PZ26tBox_FARFAR2_6,0.5789088442175171,4,Others
Das,7,16.617,24,21.487,25,0.773,22,0.929,8,-1.0,18,0.716,28,1.55,13,17.418,4,0.269,4,0.0,1,0.002844,0,PZ26tBox,PZ26tBox_Das_7,PZ26tBox_Das_7,0.5789088442175171,4,Others
Ding,1,16.507,23,20.278,12,0.814,1,0.895,31,-1.0,18,0.785,1,14.94,57,20.579,34,0.218,34,0.0,1,0.002355,0,PZ26tBox,PZ26tBox_Ding_1,PZ26tBox_Ding_1,0.5140515466371502,36,Others
TFN,8,16.493,22,21.837,29,0.755,36,0.88,39,-1.0,18,0.706,41,5.15,41,19.954,28,0.226,21,0.0,1,0.002299,0,PZ26tBox,PZ26tBox_TFN_8,PZ26tBox_TFN_8,0.558223539353257,24,Others
Das,8,16.642,26,22.072,31,0.754,38,0.901,26,0.0,1,0.708,38,1.03,7,18.847,17,0.22,27,0.0,1,0.00297,0,PZ26tBox,PZ26tBox_Das_8,PZ26tBox_Das_8,0.5656889349091299,12,Others
Das,2,16.452,20,22.102,33,0.744,43,0.88,39,0.0,1,0.71,35,3.61,32,18.51,11,0.197,53,0.0,1,0.002141,0,PZ26tBox,PZ26tBox_Das_2,PZ26tBox_Das_2,0.5657886123707169,10,Others
Bujnicki,2,16.428,19,20.937,18,0.785,15,0.851,48,-1.0,18,0.765,4,2.06,18,20.968,39,0.192,56,0.0,1,0.002051,0,PZ26tBox,PZ26tBox_Bujnicki_2,PZ26tBox_Bujnicki_2,0.54869615929351,27,Others
