Groups,model,RMSD,RMSD_rank,DI,DI_rank,INF_all,INF_all_rank,INF_wc,INF_wc_rank,INF_nwc,INF_nwc_rank,INF_stack,INF_stack_rank,clash,clash_rank,MCQ,MCQ_rank,TM,TM_rank,GDT,GDT_rank,p-value,solution,PZ,complete_name,complete_model,Lddt_score,Lddt_rank,Groups_new
Szachniuk,2,3.716,12,4.423,11,0.84,3,0.913,2,0.577,3,0.849,4,9.14,20,13.819,10,0.42,2,0.0,1,1.984e-06,0,PZ16a,PZ16a_Szachniuk_2,PZ16a_Szachniuk_2,0.7911228038480647,3,Others
Lee,2,3.551,11,4.931,12,0.72,15,0.775,19,-1.0,15,0.76,11,0.0,1,16.172,26,0.293,7,0.0,1,1.271e-06,0,PZ16a,PZ16a_Lee_2,PZ16a_Lee_2,0.629928639176189,12,Others
Szachniuk,9,2.813,10,3.774,10,0.745,9,0.913,2,0.408,4,0.742,16,14.86,27,15.022,17,0.235,19,0.0,1,1.573e-07,0,PZ16a,PZ16a_Szachniuk_9,PZ16a_Szachniuk_9,0.7861998103066709,5,Others
Lee,4,3.957,13,5.523,13,0.716,17,0.775,19,-1.0,15,0.751,15,0.0,1,17.014,35,0.249,18,0.0,1,3.749e-06,0,PZ16a,PZ16a_Lee_4,PZ16a_Lee_4,0.588508498562245,15,Others
Szachniuk,6,2.43,9,2.89,6,0.841,2,0.913,2,0.408,4,0.872,2,9.14,20,14.028,13,0.323,4,0.0,1,4.981e-08,0,PZ16a,PZ16a_Szachniuk_6,PZ16a_Szachniuk_6,0.7894328771660419,4,Others
Szachniuk,7,2.381,8,3.217,8,0.74,10,0.913,2,0.408,4,0.734,17,3.43,19,13.033,6,0.281,10,0.0,1,4.28e-08,0,PZ16a,PZ16a_Szachniuk_7,PZ16a_Szachniuk_7,0.8011908525661292,2,Others
Lee,2,3.948,15,6.411,15,0.616,16,0.775,13,-1.0,15,0.639,16,0.0,1,17.255,49,0.234,20,0.0,1,3.657e-06,0,PZ16b,PZ16b_Lee_2,PZ16b_Lee_2,0.5823804880931277,14,Others
Lee,1,4.018,16,6.523,17,0.616,16,0.775,13,-1.0,15,0.637,18,0.0,1,17.341,54,0.247,14,0.0,1,4.391e-06,0,PZ16b,PZ16b_Lee_1,PZ16b_Lee_1,0.5735537434261064,15,Others
Lee,9,4.042,17,6.455,16,0.626,14,0.739,23,-1.0,15,0.67,14,0.0,1,19.11,65,0.252,12,0.0,1,4.674e-06,0,PZ16b,PZ16b_Lee_9,PZ16b_Lee_9,0.5383944927022396,21,Others
Lee,4,4.236,19,6.549,18,0.647,13,0.775,13,-1.0,15,0.683,13,0.0,1,16.81,44,0.241,17,0.0,1,7.659e-06,0,PZ16b,PZ16b_Lee_4,PZ16b_Lee_4,0.5661082550375229,16,Others
Lee,7,4.056,18,6.584,19,0.616,16,0.775,13,-1.0,15,0.637,18,0.0,1,18.965,60,0.243,16,0.0,1,4.841e-06,0,PZ16b,PZ16b_Lee_7,PZ16b_Lee_7,0.5390260296637712,20,Others
Lee,6,3.803,14,6.285,14,0.605,20,0.775,13,-1.0,15,0.622,20,0.0,1,16.552,41,0.246,15,0.0,1,2.501e-06,0,PZ16b,PZ16b_Lee_6,PZ16b_Lee_6,0.5921489984045382,13,Others
Lee,3,3.591,12,5.935,12,0.605,20,0.775,13,-1.0,15,0.622,20,0.0,1,16.838,46,0.233,21,0.0,1,1.417e-06,0,PZ16b,PZ16b_Lee_3,PZ16b_Lee_3,0.6012711989599953,12,Others
Szachniuk,9,2.759,11,3.274,11,0.843,10,0.913,5,0.894,3,0.813,11,17.03,30,16.773,42,0.23,22,0.0,1,1.34e-07,0,PZ16b,PZ16b_Szachniuk_9,PZ16b_Szachniuk_9,0.7718489629498316,11,Others
Szachniuk,10,2.668,10,3.167,10,0.843,10,0.913,5,0.775,6,0.839,10,11.35,27,13.979,20,0.427,6,0.0,1,1.023e-07,0,PZ16b,PZ16b_Szachniuk_10,PZ16b_Szachniuk_10,0.8019596111800508,10,Others
Lee,8,3.782,13,6.142,13,0.616,16,0.775,13,-1.0,15,0.639,16,0.0,1,18.864,59,0.251,13,0.0,1,2.368e-06,0,PZ16b,PZ16b_Lee_8,PZ16b_Lee_8,0.5555309342315192,18,Others
Chen,4,15.794,27,71.336,30,0.221,30,0.0,24,-1.0,15,0.348,30,0.0,1,33.799,88,0.157,25,0.0,1,0.982,0,PZ16b,PZ16b_Chen_4,PZ16b_Chen_4,0.2913305855935709,29,Others
Chen,5,16.39,30,46.267,26,0.354,26,0.0,24,0.0,12,0.503,26,1.13,17,35.434,90,0.161,24,0.0,1,0.9924,0,PZ16b,PZ16b_Chen_5,PZ16b_Chen_5,0.3149301246823849,28,Others
